"Name","sweep_rc_split","total","Runtime","vector_size","dm","epochs","pre_process_rc_question","number_of_most_likely_docs","f1","exact"
"toasty-sweep-56","train[:20%]","4086","60","100","0","150","1","1","20.83408748410799","4.503181595692609"
"revived-sweep-30","train[:20%]","4086","46","70","0","100","1","1","19.723921832659524","4.503181595692609"
"colorful-sweep-54","train[:20%]","4086","59","70","0","150","1","1","20.473020295802133","4.429760156632403"
"deep-sweep-127","train[:20%]","4086","94","80","1","150","1","1","20.28299458504719","4.380812530592267"
"grateful-sweep-55","train[:20%]","4086","59","80","0","150","1","1","20.656914924611044","4.356338717572198"
"stellar-sweep-32","train[:20%]","4086","48","100","0","100","1","1","20.114861226498387","4.307391091532061"
"sandy-sweep-29","train[:20%]","4086","43","30","0","100","1","1","19.26203175547967","4.282917278511992"
"robust-sweep-31","train[:20%]","4086","47","80","0","100","1","1","19.940435811873563","4.233969652471855"
"legendary-sweep-128","train[:20%]","4086","91","100","1","150","1","1","20.34860270302301","4.185022026431718"
"dry-sweep-126","train[:20%]","4086","96","70","1","150","1","1","20.092548103091524","4.16054821341165"
"devout-sweep-125","train[:20%]","4086","94","30","1","150","1","1","20.063448351908853","4.16054821341165"
"kind-sweep-53","train[:20%]","4086","57","30","0","150","1","1","19.728300900795546","4.087126774351444"
"ethereal-sweep-102","train[:20%]","4086","66","70","1","100","1","1","18.374468630233892","3.891336270190896"
"clear-sweep-104","train[:20%]","4086","68","100","1","100","1","1","18.575065932151997","3.7934410181106215"
"rich-sweep-103","train[:20%]","4086","66","80","1","100","1","1","18.054058328050026","3.573176700930005"
"polar-sweep-8","train[:20%]","4086","35","100","0","50","1","1","17.35004112398508","3.108174253548703"
"genial-sweep-101","train[:20%]","4086","62","30","1","100","1","1","17.645323790408874","3.0592266275085658"
"fiery-sweep-6","train[:20%]","4086","31","70","0","50","1","1","16.554137467852048","2.8634361233480177"
"flowing-sweep-7","train[:20%]","4086","32","80","0","50","1","1","16.56483334631408","2.6186979931473324"
"floral-sweep-5","train[:20%]","4086","31","30","0","50","1","1","16.168446068226967","2.520802741067058"
"vocal-sweep-25","train[:20%]","4086","60","30","0","100","0","1","16.98335732546628","2.104747919725894"
